b_code,b_name,b_type,b_gudok,b_author,b_publish,b_page,b_price,b_cdate,b_rdate,b_bookcover,b_coversize,b_des
115844144,2023년 문재인 일력,essay,Y,편집부 저,더휴먼,365,19800,2022-12-07,2017-10-03,http://image.yes24.com/goods/115844144/L,0,책 설명
105526047,물고기는 존재하지 않는다 상실  사랑 그리고 숨어 있는 삶의 질서에 관한 이야기 [ 리커버 스페셜 에디션  양장 ],essay,Y,룰루 밀러 저/정지인 역,곰출판,365,15300,2022-12-07,2017-10-04,http://image.yes24.com/goods/105526047/L,0,책 설명
115830563,너의 하루가 따숩길 바라 마음에 약 발라주는 ‘힐링곰 꽁달이’의 폭신한 위로 [ 작가 사인 인쇄본 ],essay,Y,고은지 저,북라이프,365,14400,2022-12-07,2017-10-05,http://image.yes24.com/goods/115830563/L,0,책 설명
104086365,모든 것은 기본에서 시작한다 실력도 기술도 사람 됨됨이도  기본을 지키는 손웅정의 삶의 철학 [ 사인 인쇄본 ],essay,Y,손웅정 저,수오서재,365,14400,2022-12-07,2017-10-06,http://image.yes24.com/goods/104086365/L,0,책 설명
111750543,잘될 수밖에 없는 너에게,essay,Y,최서영 저,북로망스,365,14400,2022-12-07,2017-10-07,http://image.yes24.com/goods/111750543/L,0,책 설명
114848694,인생의 역사 ‘공무도하가’에서 ‘사랑의 발명’까지,essay,Y,신형철 저,난다,365,16200,2022-12-07,2017-10-08,http://image.yes24.com/goods/114848694/L,0,책 설명
115551401,유난하게 용감하게,essay,N,김윤미박시우 저,몽스북,365,15120,2022-12-07,2017-10-09,http://image.yes24.com/goods/115551401/L,0,책 설명
105787441,보이지 않는 곳에서 애쓰고 있는 너에게 남들 앞에서 괜찮은 척 애쓰는 당신을 위한 위로,essay,N,최대호 저,떠오름,365,9720,2022-12-07,2017-10-10,http://image.yes24.com/goods/105787441/L,0,책 설명
91757049,축구를 하며 생각한 것들 (리커버 에디션) [ 개정판 ],essay,N,손흥민 저,브레인스토어(BRAINstore),365,16200,2022-12-07,2017-10-11,http://image.yes24.com/goods/91757049/L,0,책 설명
115570087,100세 철학자의 행복론 [ 양장 ],essay,N,김형석 저,열림원,365,14850,2022-12-07,2017-10-12,http://image.yes24.com/goods/115570087/L,0,책 설명
108624716,기분을 관리하면 인생이 관리된다,essay,N,김다슬 저,클라우디아,365,15840,2022-12-07,2017-10-13,http://image.yes24.com/goods/108624716/L,0,책 설명
115814211,초록담쟁이 365 하루에세이 만년 일력 [ 스프링북 ],essay,N,초록담쟁이 글그림,도트북,365,20700,2022-12-07,2017-10-14,http://image.yes24.com/goods/115814211/L,0,책 설명
114857322,망그러진 만화 망그러진 곰과 햄터의 귀염뽀짝 일상다반사! [ 망그러진 곰 & 햄터 투명 스티커 (초판 한정  책과 랩핑) ],essay,N,유랑 저,좋은생각,365,15120,2022-12-07,2017-10-15,http://image.yes24.com/goods/114857322/L,0,책 설명
115535076,나를 위한 노래,essay,Y,이석원 저,마음산책,365,12600,2022-12-07,2017-10-16,http://image.yes24.com/goods/115535076/L,0,책 설명
105374759,나는 당신이 행복했으면 좋겠습니다,essay,Y,박찬위 저,하이스트,365,12420,2022-12-07,2017-10-17,http://image.yes24.com/goods/105374759/L,0,책 설명
