b_code,b_name,b_type,b_gudok,b_author,b_publish,b_page,b_price,b_cdate,b_rdate,b_bookcover,b_coversize,b_des
112253263,아버지의 해방일지,novel,N,정지아 저,창비,365,13500 ,2022-12-07,2019-02-08,http://image.yes24.com/goods/112253263/L,0,책설명
111088149,불편한 편의점 2 [ 단풍 에디션 작가 친필 사인 인쇄본 ],novel,Y,김호연 저,나무옆의자,365,12600 ,2022-12-07,2019-02-09,http://image.yes24.com/goods/111088149/L,0,책설명
99308021,불편한 편의점 [ 벚꽃 에디션 ],novel,Y,김호연 저,나무옆의자,365,12600 ,2022-12-07,2019-02-10,http://image.yes24.com/goods/99308021/L,0,책설명
111085946,하얼빈 [ 양장 ],novel,Y,김훈 저,문학동네,365,14400 ,2022-12-07,2019-02-11,http://image.yes24.com/goods/111085946/L,0,책설명
102360203,오늘 밤 세계에서 이 사랑이 사라진다 해도,novel,Y,이치조 미사키 저/권영주 역,모모,365,12600 ,2022-12-07,2019-02-12,http://image.yes24.com/goods/102360203/L,0,책설명
110641272,파친코 1 [ 개정판 ],novel,Y,이민진 저/신승미 역,인플루엔셜,365,14220 ,2022-12-07,2019-02-13,http://image.yes24.com/goods/110641272/L,0,책설명
111680193,파친코 2 [ 개정판 ],novel,Y,이민진 저/신승미 역,인플루엔셜,365,14220 ,2022-12-07,2019-02-14,http://image.yes24.com/goods/111680193/L,0,책설명
109308932,세상의 마지막 기차역,novel,Y,무라세 다케시 저/김지연 역,모모,365,12600 ,2022-12-07,2019-02-15,http://image.yes24.com/goods/109308932/L,0,책설명
115468266,크리스마스 타일,novel,Y,김금희 저,창비,365,13500 ,2022-12-07,2019-02-16,http://image.yes24.com/goods/115468266/L,0,책설명
24259730,꽃을 보듯 너를 본다 [ 양장 ],novel,Y,나태주 저,지혜,365,9000 ,2022-12-07,2019-02-17,http://image.yes24.com/goods/24259730/L,0,책설명
108887930,작별인사,novel,Y,김영하 저,복복서가,365,12600 ,2022-12-07,2019-02-18,http://image.yes24.com/goods/108887930/L,0,책설명
110643312,오늘 밤 세계에서 이 눈물이 사라진다 해도,novel,Y,이치조 미사키 저/김윤경 역,모모,365,12600 ,2022-12-07,2019-02-19,http://image.yes24.com/goods/110643312/L,0,책설명
106211628,어서 오세요 휴남동 서점입니다,novel,Y,황보름 저,클레이하우스,365,13500 ,2022-12-07,2019-02-20,http://image.yes24.com/goods/106211628/L,0,책설명
91065309,달러구트 꿈 백화점 (레인보우 에디션) 주문하신 꿈은 매진입니다,novel,Y,이미예 저,팩토리나인,365,12420 ,2022-12-07,2019-02-21,http://image.yes24.com/goods/91065309/L,0,책설명
115401494,백만장자를 위한 공짜 음식 1 [ 작가 사인 인쇄본 개정판 ],novel,Y,이민진 저/유소영 역,인플루엔셜,365,15120 ,2022-12-07,2019-02-22,http://image.yes24.com/goods/115401494/L,0,책설명
